Rule ID,Control Name,Category,Severity,Risk,Entitlement,Applies To,What It Checks,XC Config Field(s) Inspected,How Evaluated (PASS / FAIL / WARN / SKIP),Expected Value,Remediation,Known Issue / Review Note
AC-02,IP Reputation Enabled,ACCESS_CONTROL,HIGH,High,Base,http_loadbalancer,IP Reputation blocks known-malicious source IPs (F5 threat intel). Must be explicitly enabled.,spec.enable_ip_reputation  &&  !spec.disable_ip_reputation,PASS if enabled and not disabled. FAIL otherwise.,Enabled,Enable IP Reputation on the LB.,
AC-03,Threat Mesh Enabled,WAF,MEDIUM,Med,Base,http_loadbalancer,Threat Mesh shares cross-tenant threat intel. On by default unless disabled.,spec.disable_threat_mesh (presence),PASS if not disabled. FAIL if disable_threat_mesh present.,Enabled,Enable Threat Mesh on the LB (it is OFF by default).,"✅ FIXED — BUG (confirmed): F5 console default for Threat Mesh = DISABLE. Rule ""!disable_threat_mesh"" PASSes an LB that has NEITHER key (i.e. default-disabled) → false PASS. Should require enable_threat_mesh present (FAIL if disabled OR absent). Also category is WAF — consider ACCESS_CONTROL."
AC-04,No Broad WAF Bypass for Trusted Clients,ACCESS_CONTROL,HIGH,High,Base,http_loadbalancer,A trusted-client rule that skips WAF for 0.0.0.0/0 effectively disables protection.,"spec.trusted_clients[] → actions/skip_processing include *WAF*  AND  ip_prefix ∈ {0.0.0.0/0, ::/0, empty}",PASS if no broad WAF-skip rule. FAIL if a trusted-client rule skips WAF for all sources.,No 0.0.0.0/0 WAF-skip rule,Scope trusted-client WAF-skip rules to specific justified prefixes — never 0.0.0.0/0.,"✅ FIXED — now flags only ip_prefix 0.0.0.0/0 or ::/0 (an empty prefix, e.g. an ASN-scoped rule, is no longer false-flagged as broad)."
CORS-01,CORS Not Over-Permissive,ACCESS_CONTROL,MEDIUM,Med,Config,http_loadbalancer,"CORS allowing any origin (""*"") with credentials enables cross-origin data theft.",spec.cors_policy.allow_origin[] / allow_origin_regex[]  +  allow_credentials,SKIP if no CORS policy. FAIL if wildcard origin AND allow_credentials. PASS if scoped.,No wildcard origin with credentials,"Restrict Allow-Origin to specific origins; never combine ""*"" with Allow-Credentials.",
DDOS-01,L7 DDoS Protection,DDOS,MEDIUM,High,Base,http_loadbalancer,L7 DDoS auto-mitigation protects against application-layer floods.,spec.l7_ddos_protection (object)  OR  spec.ddos_mitigation_rules[],PASS if either configured. WARN otherwise.,Configured,"Configure L7 DDoS auto-mitigation (l7_ddos_protection, default RPS threshold = 10,000) or DDoS mitigation rules.",✅ FIXED — BUG: misses spec.enable_ddos_detection and spec.single_lb_app.enable_ddos_detection → can WARN even when DDoS detection is enabled via the app-profile path. Legacy l7_ddos_action_* is deprecated (current = l7_ddos_protection). Can cross-check coverage via get_security_config → ddos_detection[].
DDOS-02,Slow-Request (Slowloris) Mitigation,DDOS,LOW,Low,Base,http_loadbalancer,Request-header / request timeouts mitigate slow-loris connection-exhaustion attacks.,spec.slow_ddos_mitigation.{request_headers_timeout | request_timeout},PASS if either timeout set. WARN otherwise.,Timeouts configured,Tune slow DDoS mitigation timeouts if the defaults are unsuitable.,"✅ FIXED — Confirmed: when absent, system_default_timeouts apply (request_headers_timeout default = 10000 ms = Slowloris protection). ""Not configured"" ≠ unprotected → this should be INFO, not WARN."
DDOS-03,Request Size Limit,DDOS,LOW,Low,Config,http_loadbalancer,An explicit max request body size limits buffer-abuse / large-payload DoS.,spec.more_option.buffer_policy.max_request_bytes,PASS if > 0. WARN otherwise.,Max request size configured,Set a max request size (buffer policy) appropriate to the app.,
BOT-01,Bot Defense Attached,BOT_DEFENSE,HIGH,High,Entitlement,http_loadbalancer,"Bot Defense mitigates automated attacks (credential stuffing, scraping, carding). Licensed add-on.",spec.bot_defense (object)  &&  !spec.disable_bot_defense ; policy = spec.bot_defense.policy,PASS if bot_defense object present and not disabled. WARN otherwise.,Bot Defense policy attached,Attach a Bot Defense policy (requires Bot Defense Standard/Advanced license).,
BOT-02,Malicious User Detection,BOT_DEFENSE,MEDIUM,Med,Base,http_loadbalancer,Behavioral analysis that scores users and mitigates high-risk ones.,(spec.enable_malicious_user_detection || spec.malicious_user_mitigation ref) && !spec.disable_malicious_user_detection,PASS if enabled. WARN otherwise.,Enabled,Enable Malicious User Detection and configure a mitigation policy / user identifier.,Checks DETECTION only. Does not verify a mitigation ACTION (challenge/block) is wired — detection without mitigation is half a control.
RL-01,Rate Limiting Configured,RATE_LIMITING,MEDIUM,Med,Entitlement,http_loadbalancer,Rate limiting protects against brute-force and volumetric abuse. Metered add-on.,(spec.rate_limiter ref || spec.rate_limit obj || spec.api_rate_limit obj) && !spec.disable_rate_limit,PASS if any rate-limit construct present. WARN otherwise.,Configured,Configure a rate limiter with an appropriate user identifier.,
CSD-01,Client-Side Defense,CLIENT_SECURITY,MEDIUM,High,Entitlement,http_loadbalancer,CSD protects against Magecart / formjacking / skimming. Licensed add-on.,spec.client_side_defense (object)  &&  !spec.disable_client_side_defense,PASS if CSD object present and not disabled. WARN otherwise.,Enabled on payment/e-commerce LBs,Enable CSD on LBs serving payment / sensitive forms (requires license).,Applied uniformly — most relevant for payment/PII apps; consider app-profile conditional grading.
API-01,API Discovery Enabled,API_SECURITY,MEDIUM,High,Base,http_loadbalancer,"API Discovery passively learns endpoints, surfacing shadow/zombie APIs.",spec.enable_api_discovery && !spec.disable_api_discovery,PASS if enabled. WARN otherwise.,Enabled,Enable API Discovery and review the discovered inventory periodically.,Discovery can also be enabled via spec.single_lb_app.enable_discovery / multi_lb_app (app_type) — not currently checked.
API-02,API Definition / Schema Attached,API_SECURITY,LOW,Med,Base,http_loadbalancer,An attached API Definition (OpenAPI spec) enables positive-security schema validation.,spec.api_definition ref  ||  spec.api_specification.api_definition ref  ||  spec.api_specification (object),PASS if attached. WARN otherwise.,API definition attached,Upload an OpenAPI spec and attach it as an API Definition.,"Checks ATTACHMENT only, not ENFORCEMENT. Does not verify validation_all_spec_endpoints is in block mode or that fall_through_mode is not wide-open (a spec in report+fall-through enforces nothing)."
UID-01,User Identification Policy,USER_IDENTIFICATION,LOW,Med,Base,http_loadbalancer,Rate limiting & malicious-user detection rely on a user identifier. Client-IP-only misfires behind NAT.,"spec.user_identification ref → ""policy""; spec.user_id_client_ip → ""client_ip""",PASS if policy-based. WARN if client-IP-only or none.,Policy-based for authenticated apps,Attach a cookie/header-based user identification policy for authenticated apps.,
DG-01,Data Guard (Response Masking),API_SECURITY,LOW,Med,Base,http_loadbalancer,"Data Guard masks sensitive data (PAN, SSN) in responses.",spec.data_guard_rules[] (count),PASS if ≥1 rule. WARN if none.,Data Guard rules configured,Configure Data Guard rules on pages/paths that may expose sensitive data.,Distinct from sensitive-data DISCOVERY (spec.sensitive_data_disclosure_rules / default_sensitive_data_policy) which is not checked.
CSRF-01,CSRF Protection,CLIENT_SECURITY,MEDIUM,Med,Base,http_loadbalancer,CSRF protection rejects cross-origin state-changing requests.,spec.csrf_policy present  &&  csrf_policy.disabled !== true,PASS if enabled. FAIL if explicitly disabled. WARN if not configured.,Enabled,Enable CSRF protection and set allowed source-origin domains.,"✅ FIXED — csrf_policy.disabled is detected by key-presence (oneof empty object {}), not ===true, so an explicitly-disabled CSRF policy now FAILs correctly."
HDR-01,Security Response Headers,CLIENT_SECURITY,MEDIUM,Med,Config,http_loadbalancer,CSP / X-Frame-Options / X-Content-Type-Options / Referrer-Policy should be added on responses.,"spec.more_option.response_headers_to_add[].name ∩ {x-frame-options, x-content-type-options, content-security-policy, referrer-policy, permissions-policy, strict-transport-security}",PASS if ≥1 known security header added. WARN otherwise.,CSP / X-Frame-Options / X-Content-Type-Options added,"Add CSP, X-Frame-Options, X-Content-Type-Options: nosniff, Referrer-Policy on the LB.",Also reads top-level spec.response_headers_to_add[] in addition to more_option.
HDR-02,Server Header Suppression,CLIENT_SECURITY,LOW,Low,Config,http_loadbalancer,Default response leaks a Server header (e.g. volt-adc). Remove/overwrite it.,"spec(.more_option).response_headers_to_remove[] includes ""server"" (or ""server"" in headers_to_add)",PASS if server header removed/overwritten. WARN otherwise.,Server header removed / overwritten,Set the server-header option to overwrite/remove; avoid pass_through.,"Server-header handling is a more_option oneof: default_header (server=""volt-adc"", the default), pass_through (LEAKS origin software/version), server_name (overwrite), append_server_name. Should grade this oneof (pass_through = finding), not only response_headers_to_remove."
HDR-03,x-volterra-location Header Disabled,CLIENT_SECURITY,LOW,Low,Config,http_loadbalancer,x-volterra-location (Add Location) discloses which XC PoP served the request.,spec.add_location === true,WARN if enabled (PoP disclosure). PASS if disabled.,Disabled,"Leave ""Add Location"" disabled in production.",
COOKIE-01,Cookie Protection (Secure/HttpOnly),CLIENT_SECURITY,MEDIUM,Med,Config,http_loadbalancer,App cookies should carry Secure + HttpOnly via Protected Cookies.,spec.protected_cookies[] — each must have add_secure AND add_httponly,WARN if none configured. PASS if all hardened. WARN if some missing Secure/HttpOnly.,Protected cookies with Secure + HttpOnly,"Add Protected Cookies with Secure, HttpOnly, SameSite for session cookies.",
OP-01,TLS to Origin Enabled,TLS_SSL,HIGH,High,Base,origin_pool,XC→origin traffic should use TLS for sensitive origins. Pools default to plaintext.,origin_pool spec.use_tls (present/object/true)  vs  spec.no_tls,PASS if TLS enabled. WARN if plaintext (no_tls / use_tls absent).,TLS enabled,Enable TLS to origin in the origin pool.,"WARN-level; for an HTTPS front-end terminating to a plaintext origin, consider FAIL where the app is sensitive."
OP-02,Origin Certificate Validation,ORIGIN,HIGH,High,Base,origin_pool,"When origin TLS is on, server cert verification must not be skipped (MITM risk).",spec.use_tls.skip_server_verification  vs  use_tls.volterra_trusted_ca / use_server_verification,SKIP if no origin TLS. FAIL if skip_server_verification. PASS if verifying.,Verify enabled (no skip-verify),Disable Skip Server Verification; use Volterra Trusted CA or upload the origin CA.,
OP-03,Origin Pool High Availability,ORIGIN,MEDIUM,High,Config,origin_pool,Production pool should have ≥2 origin servers across failure domains.,spec.origin_servers[] (count),PASS if ≥2 servers. WARN if <2 (no failover).,≥ 2 origin servers,Add a second origin server in a different AZ / failure domain.,"Availability/resilience control — arguably out of scope for a security audit; keep or move to a ""reliability"" section."
OP-04,Health Check Configured,ORIGIN,HIGH,High,Base,origin_pool,An active health check removes unhealthy origins from rotation.,spec.healthcheck[] (count of refs),PASS if ≥1 health check. FAIL if 0.,Health check attached,Attach an active HTTP/HTTPS health check with an expected response code.,
OP-05,Origin TLS Version (Medium+),TLS_SSL,MEDIUM,Med,Base,origin_pool,"Origin TLS should be TLS 1.2+ (Medium or higher), not a Low profile.",spec.use_tls.tls_config → low_security | medium_security | default_security / min_version,SKIP if no origin TLS. FAIL if Low. PASS for Medium/High/Default.,Default/High (TLS 1.2+),Set the origin TLS security level to Default/High (TLS 1.2+).,"✅ FIXED — Confirmed (TLS Reference): medium_security permits TLS 1.0 on the origin leg too — same fix as TLS-04 (medium should WARN, low FAIL)."
OP-06,Outlier Detection,ORIGIN,LOW,Low,Config,origin_pool,Outlier detection ejects abnormal origins before hard failure.,spec.advanced_options.outlier_detection  vs  disable_outlier_detection,PASS if enabled. WARN if disabled or not configured.,Enabled,Enable outlier detection in origin pool advanced options.,"Resilience control, not strictly security."
OP-07,Circuit Breaker,ORIGIN,LOW,Low,Config,origin_pool,A circuit breaker caps connections/requests to a failing origin.,spec.advanced_options.circuit_breaker  OR  default_circuit_breaker,PASS if configured. WARN otherwise.,Configured,Configure a circuit breaker (or enable the default) in advanced options.,"Resilience control, not strictly security."
HC-01,HTTP(S) Health Check with Expected Codes,ORIGIN,MEDIUM,Med,Base,healthcheck,"App-layer (HTTP/HTTPS) health check with expected status codes detects real failures, unlike TCP-only.",healthcheck spec.http_health_check + http_health_check.expected_status_codes[],WARN if TCP-only. PASS if HTTP with expected codes. WARN if HTTP but no codes.,HTTP health check with expected status codes,Use an HTTP/HTTPS health check with an expected status code and health path.,
CERT-01,Certificate Expiry,TLS_SSL,HIGH,High,Config,certificate,Custom TLS certs should have >30 days remaining; expiry = hard outage.,cert spec.infos[].expiry/not_after | status[].not_after/expiry/expiration_timestamp | spec.expiration_timestamp,SKIP if expiry unknown (often auto-managed). FAIL if ≤7 days. WARN if ≤30 days. PASS if >30 days.,> 30 days remaining,Renew before expiry (cert + full chain) or migrate to XC auto-managed certs.,"Confirmed field: cert spec.infos[].expiry (RFC3339). Consider aligning thresholds to F5 built-in cert alerts: Expiring < 28 days (major), ExpiringSoon < 15 days (critical). Current 30d WARN / 7d FAIL is close but not matched."
CERT-02,Certificate Key Blindfolded,TLS_SSL,HIGH,High,Base,certificate,"Private key must be Blindfold/Vault-encrypted, never inline plaintext.","cert spec.private_key.{blindfold_secret_info | vault_secret_info | wingman_secret_info} vs clear_secret_info / ""-----BEGIN""",PASS if blindfold/vault. FAIL if cleartext/PEM. SKIP if undeterminable.,Blindfold / Vault (no plaintext),Re-import using a Blindfold-encrypted key or Vault reference.,
CERT-03,Certificate Key Strength,TLS_SSL,MEDIUM,Med,Config,certificate,Keys should be RSA ≥2048 or ECDSA. RSA-1024 is breakable.,cert spec.infos[].public_key_algorithm → RSA<2048 = weak,SKIP if algorithm unknown. FAIL if weak (RSA<2048). PASS for RSA≥2048 / ECDSA.,RSA ≥ 2048 or ECDSA,Reissue with an RSA ≥2048 or ECDSA P-256 key.,
WAFP-01,WAF Enforcement Mode (Blocking),WAF,CRITICAL,High,Base,app_firewall,WAF must be in Blocking (or AI risk-based) mode in production; Monitoring only logs.,app_firewall spec.blocking | monitoring | ai_risk_based_blocking (oneof)  or  spec.mode string,PASS if blocking or ai_risk_based_blocking. FAIL if monitoring. WARN if undeterminable.,Blocking,Set the App Firewall enforcement mode to Blocking for production policies.,
WAFP-02,Threat Campaigns Enabled,WAF,MEDIUM,Med,Base,app_firewall,F5-curated threat-campaign signatures (e.g. Log4Shell) should be on. On by default.,app_firewall spec.detection_settings.enable_threat_campaigns ({}) vs disable_threat_campaigns,PASS if enabled (or detail present and not disabled). FAIL if disabled. SKIP if detection_settings unavailable.,Enabled,Enable Threat Campaigns in the App Firewall detection settings.,"✅ FIXED — GAP: a policy using default_detection_settings (F5 baseline — all attack types + high/med signatures + threat campaigns + all violations ON) has no detection_settings object, so this currently SKIPs. Treat default_detection_settings as PASS."
WAFP-03,High/Medium Accuracy Signatures,WAF,HIGH,High,Base,app_firewall,WAF should enforce the high & medium accuracy signature set (default).,app_firewall spec.detection_settings.signature_selection_setting.{high_medium_accuracy_signatures | high_medium_low_accuracy_signatures | default_attack_type_settings},PASS if a high/medium (or broader) set selected. FAIL if not. SKIP if detection_settings unavailable.,Enabled,Enable the high & medium accuracy signature set.,✅ FIXED — GAP: default_detection_settings (baseline) enables high+medium signatures but has no detection_settings object → currently SKIPs; treat as PASS. Also only_high_accuracy_signatures currently FAILs (narrower than high+medium) — confirm desired grading.
WAFP-04,WAF Bot Signature Protection,WAF,MEDIUM,Med,Base,app_firewall,"WAF should block malicious bot signatures, complementing dedicated Bot Defense.",app_firewall spec.detection_settings.bot_protection_setting.malicious_bot_action === BLOCK,PASS if malicious_bot_action = BLOCK. WARN if not blocking. SKIP if detail unavailable.,Malicious bots blocked,Set WAF bot protection malicious-bot action to Block.,
WAFP-05,No Attack Types Disabled,WAF,HIGH,High,Base,app_firewall,All OWASP attack-type signature categories should stay enabled.,app_firewall spec.detection_settings.signature_selection_setting.attack_type_settings.disabled_attack_types[],SKIP if detection_settings unavailable. FAIL if ≥1 disabled. PASS if none disabled.,No attack types disabled,Re-enable any disabled attack-type categories.,✅ FIXED — GAP: default_detection_settings (baseline) enables all attack types but has no detection_settings object → currently SKIPs. Treat default_detection_settings as PASS (none disabled).
WAFP-06,No Violation Types Disabled,WAF,MEDIUM,Med,Base,app_firewall,HTTP-compliance/evasion violations should stay enabled.,app_firewall spec.detection_settings.violation_settings.disabled_violation_types[],SKIP if detection_settings unavailable. WARN if ≥1 disabled. PASS if none disabled.,No violations disabled,Re-enable any disabled violation types.,✅ FIXED — GAP: default_detection_settings (baseline) enables all violations but has no detection_settings object → currently SKIPs. Treat default_detection_settings as PASS.
WAFP-07,WAF Cookie Protection,CLIENT_SECURITY,LOW,Low,Base,app_firewall,WAF can enforce Secure/HttpOnly/SameSite on managed cookies.,app_firewall spec.cookie_protection_setting.{add_secure_attribute | add_httponly_attribute | add_samesite_attribute},PASS if any cookie protection enabled. WARN if not. SKIP if detail unavailable.,Cookie protection enabled,Enable cookie protection (Secure/HttpOnly/SameSite) in the App Firewall policy.,Overlaps with LB-level COOKIE-01 (protected_cookies); both kept — confirm if intentional.
SP-01,Service Policy No Allow-All,ACCESS_CONTROL,HIGH,High,Base,service_policy,"A terminal allow-all rule negates rules below it, disabling L7 access control.","service_policy spec.allow_all_requests, or rule (spec.rules[]/rule_list.rules[]) action ALLOW + any_client / any_ip (empty-object oneof)",FAIL if allow-all present. PASS otherwise.,No top-level allow-all rule,Remove/constrain any top-level ALLOW rule matching all clients.,"any_client detection was fixed to use key-presence (empty object), not ===true."
SP-02,No Allow-All IP Prefix,ACCESS_CONTROL,HIGH,High,Base,service_policy,An ALLOW rule with 0.0.0.0/0 in its prefix list trusts every source.,"service_policy ALLOW rule spec.ip_prefix_list.prefixes ∩ {0.0.0.0/0, ::/0, 0.0.0.0/1, 0/0}",FAIL if a broad allow-prefix found. PASS otherwise.,No 0.0.0.0/0 in allow rules,Replace 0.0.0.0/0 in ALLOW rules with specific trusted prefixes.,
TENANT-LOG-01,SIEM / Global Log Receiver Configured,LOGGING,HIGH,High,Base,http_loadbalancer (tenant-wide),A global log receiver streams security/access logs to an external SIEM.,"count of shared/global_log_receivers objects (tenant-wide, run once)",PASS if ≥1 receiver. FAIL if 0.,At least one global log receiver,Configure a Global Log Receiver (shared namespace) to your SIEM.,"Tenant-wide finding tagged to ""(tenant-wide)"" pseudo-LB; not per-app."
TENANT-ALERT-01,Alert Policies Configured,ALERTING,MEDIUM,Med,Base,http_loadbalancer (tenant-wide),"At least one alert policy + receiver should exist (errors, origin-down, cert-expiry).",count of alert_policys and alert_receivers (per scanned namespace),"PASS if ≥1 policy AND ≥1 receiver. WARN if policies but no receivers, or none.",At least one alert policy + receiver,"Create alert policies and receivers for error rate, origin health, cert expiry.",
